function,beta,etaL,init,T,A,B,exp_diff,R2,ratio_k10,ratio_k100,ratio_k1000,ratio_k10000
f1_quad2d,0.9,1.0,alt_mom,1000,cesaro,pr,-1.6707,0.9930,1.144514e+05,2.288126e+03,2.487166e+01,1.393664e+00
f1_quad2d,0.9,1.0,alt_mom,10000,cesaro,pr,-1.8941,0.9986,1.140406e+07,2.279912e+05,2.477481e+03,2.500709e+01
f1_quad2d,0.9,1.5,alt_mom,1000,cesaro,pr,-1.7099,0.9978,1.898444e+05,4.922997e+03,5.568133e+01,1.688145e+00
f1_quad2d,0.9,1.5,alt_mom,10000,cesaro,pr,-1.8528,0.9973,1.891630e+07,4.905325e+05,5.548143e+03,5.619306e+01
f1_quad2d,0.9,2.0,alt_mom,1000,cesaro,pr,-1.7227,0.9978,2.587689e+05,8.377141e+03,9.852504e+01,2.059064e+00
f1_quad2d,0.9,2.0,alt_mom,10000,cesaro,pr,-1.8166,0.9958,2.578400e+07,8.347071e+05,9.817137e+03,9.985076e+01
f1_quad2d,0.9,2.5,alt_mom,1000,cesaro,pr,-1.7222,0.9962,3.196059e+05,1.254032e+04,1.532255e+02,2.520384e+00
f1_quad2d,0.9,2.5,alt_mom,10000,cesaro,pr,-1.7843,0.9941,3.184587e+07,1.249530e+06,1.526755e+04,1.559430e+02
f1_quad2d,0.9,2.9,alt_mom,1000,cesaro,pr,-1.7163,0.9946,3.626994e+05,1.631617e+04,2.054102e+02,2.963705e+00
f1_quad2d,0.9,2.9,alt_mom,10000,cesaro,pr,-1.7609,0.9927,3.613974e+07,1.625760e+06,2.046729e+04,2.097575e+02
f1_quad2d,0.95,0.5,alt_mom,1000,cesaro,pr,-1.6717,0.9934,1.123026e+05,2.282189e+03,2.485824e+01,1.355957e+00
f1_quad2d,0.95,0.5,alt_mom,10000,cesaro,pr,-1.8915,0.9986,1.118995e+07,2.273997e+05,2.476810e+03,2.500450e+01
f1_quad2d,0.95,1.0,alt_mom,1000,cesaro,pr,-1.7228,0.9977,2.514870e+05,8.335774e+03,9.847216e+01,1.997193e+00
f1_quad2d,0.95,1.0,alt_mom,10000,cesaro,pr,-1.8127,0.9956,2.505843e+07,8.305852e+05,9.811869e+03,9.984535e+01
f1_quad2d,0.95,1.5,alt_mom,1000,cesaro,pr,-1.7132,0.9938,3.601955e+05,1.719351e+04,2.194397e+02,3.001171e+00
f1_quad2d,0.95,1.5,alt_mom,10000,cesaro,pr,-1.7506,0.9920,3.589025e+07,1.713180e+06,2.186520e+04,2.244335e+02
f1_quad2d,0.95,2.5,alt_mom,100,cesaro,pr,-0.8452,0.9939,2.853479e+02,2.888684e+01,4.145548e+00,8.301039e-01
f1_quad2d,0.99,0.5,alt_mom,1000,cesaro,pr,-1.8071,0.9992,1.432819e+06,3.099671e+04,3.493220e+02,6.052595e+00
f1_quad2d,0.99,0.5,alt_mom,1000,pr,best,2.6731,0.9973,7.426101e-05,4.749832e-02,9.191641e+00,1.044388e+04
f1_quad2d,0.99,2.0,alt_mom,1000,last,cesaro,-0.9353,0.9998,7.018854e+00,8.865478e-01,9.794041e-02,1.115823e-02
f1_quad2d,0.99,2.5,alt_mom,1000,last,cesaro,-1.0527,0.9966,1.980657e+01,2.214927e+00,1.287716e-01,1.583063e-02
f1_quad2d,0.99,2.9,alt_mom,100,last,cesaro,-0.9597,0.9958,1.477870e+03,1.089851e+02,1.769993e+01,1.713027e+00
f2_quad10d,0.5,1.0,zero_mom,10000,cesaro,pr,-2.0328,0.9960,3.946088e+06,2.046560e+04,1.687225e+02,3.272102e+00
f2_quad10d,0.5,1.5,zero_mom,10000,cesaro,pr,-2.1333,0.9970,1.236307e+07,4.721429e+04,3.804994e+02,4.776696e+00
f2_quad10d,0.5,2.0,zero_mom,10000,cesaro,pr,-2.2030,0.9965,3.063641e+07,8.608141e+04,6.780017e+02,6.984878e+00
f2_quad10d,0.5,2.5,zero_mom,10000,cesaro,pr,-2.2514,0.9956,6.305130e+07,1.379685e+05,1.061820e+03,9.989032e+00
f2_quad10d,0.5,2.9,zero_mom,10000,cesaro,pr,-2.2716,0.9953,9.516857e+07,1.894970e+05,1.431422e+03,1.299322e+01
f2_quad10d,0.7,0.5,zero_mom,10000,cesaro,pr,-2.0845,0.9902,5.132977e+06,1.490269e+04,1.176787e+02,2.902639e+00
f2_quad10d,0.7,1.0,zero_mom,10000,cesaro,pr,-2.2067,0.9960,2.380389e+07,6.588307e+04,4.749533e+02,5.432549e+00
f2_quad10d,0.7,1.5,zero_mom,10000,cesaro,pr,-2.0763,0.9997,1.560760e+07,1.643516e+05,1.078300e+03,1.000180e+01
f2_quad10d,0.7,2.0,zero_mom,10000,cesaro,pr,-1.9698,0.9947,1.126264e+07,3.249188e+05,1.934354e+03,1.688419e+01
f2_quad10d,0.95,2.0,zero_mom,100,cesaro,best,0.9357,0.9990,6.019734e-04,5.963273e-03,5.269287e-02,3.830455e-01
f2_quad10d,0.95,2.5,zero_mom,100,last,cesaro,-0.8217,0.9921,5.404675e+03,5.590374e+02,8.404104e+01,1.853786e+01
f2_quad10d,0.95,2.5,zero_mom,100,cesaro,suffix,0.6705,0.9938,1.765272e-02,5.883191e-02,3.125077e-01,1.738161e+00
f2_quad10d,0.95,2.5,zero_mom,100,cesaro,best,0.8612,0.9976,4.248205e-04,3.242574e-03,1.840365e-02,1.768405e-01
f2_quad10d,0.95,2.9,zero_mom,100,last,cesaro,-0.9304,0.9954,6.647625e+03,1.079826e+03,8.188281e+01,1.243793e+01
f2_quad10d,0.95,2.9,zero_mom,100,cesaro,best,0.8463,0.9950,3.280573e-04,1.623530e-03,1.221258e-02,1.108678e-01
f2_quad10d,0.99,0.5,zero_mom,1000,last,cesaro,-1.0604,0.9995,7.600216e+03,6.643364e+02,5.116500e+01,5.217045e+00
f2_quad10d,0.99,0.5,zero_mom,1000,cesaro,suffix,0.9193,0.9960,1.074658e-02,7.313456e-02,5.343532e-01,6.424384e+00
f2_quad10d,0.99,0.5,zero_mom,1000,cesaro,best,1.1988,0.9979,2.309315e-04,5.110790e-03,5.637169e-02,1.028122e+00
f2_quad10d,0.99,1.0,zero_mom,1000,last,cesaro,-1.2018,0.9949,2.639513e+04,1.647084e+03,1.622194e+02,5.639125e+00
f2_quad10d,0.99,1.0,zero_mom,1000,last,pr,-0.6006,0.9990,5.844396e+04,1.376726e+04,3.930836e+03,8.835408e+02
f2_quad10d,0.99,1.0,zero_mom,1000,cesaro,best,1.1521,0.9995,6.060910e-05,1.014836e-03,1.327235e-02,1.781243e-01
f2_quad10d,0.99,1.5,zero_mom,1000,last,cesaro,-0.9124,0.9997,7.075031e+04,8.974101e+03,1.155202e+03,1.273757e+02
f2_quad10d,0.99,1.5,zero_mom,1000,cesaro,pr,0.5297,0.9942,2.268224e+00,9.283281e+00,3.231525e+01,8.725084e+01
f2_quad10d,0.99,1.5,zero_mom,1000,cesaro,best,1.3290,0.9989,2.821869e-05,4.502903e-04,1.248814e-02,2.509965e-01
f2_quad10d,0.99,1.5,zero_mom,1000,pr,best,0.7993,0.9921,1.244088e-05,4.850551e-05,3.864474e-04,2.876723e-03
f2_quad10d,0.99,2.0,zero_mom,1000,last,cesaro,-1.0045,0.9995,2.100522e+05,1.823294e+04,2.086191e+03,1.940403e+02
f2_quad10d,0.99,2.0,zero_mom,1000,cesaro,best,1.0116,1.0000,1.599529e-05,1.682635e-04,1.746267e-03,1.727376e-02
f2_quad10d,0.99,2.5,zero_mom,1000,last,cesaro,-0.9710,1.0000,2.719852e+05,2.967297e+04,3.210299e+03,3.310757e+02
f2_quad10d,0.99,2.5,zero_mom,1000,cesaro,best,1.2995,0.9951,6.133786e-06,6.842554e-05,2.401857e-03,4.019719e-02
f2_quad10d,0.99,2.9,zero_mom,1000,last,cesaro,-1.1312,0.9941,2.097297e+05,1.769099e+04,7.744551e+02,1.008667e+02
f2_quad10d,0.99,2.9,zero_mom,1000,cesaro,suffix,0.9074,0.9912,1.844424e-03,2.630580e-02,1.633666e-01,1.062355e+00
f2_quad10d,0.99,2.9,zero_mom,1000,cesaro,best,1.0692,0.9991,1.300658e-05,1.697665e-04,2.146526e-03,2.046351e-02
f2_quad10d,0.5,0.5,alt_mom,10000,cesaro,pr,-1.7992,0.9956,6.667692e+05,8.047124e+03,8.603349e+01,3.045150e+00
f2_quad10d,0.5,1.0,alt_mom,10000,cesaro,pr,-1.8827,0.9995,2.530917e+06,3.216202e+04,3.440946e+02,6.089789e+00
f2_quad10d,0.5,1.5,alt_mom,10000,cesaro,pr,-1.9143,0.9999,5.360506e+06,7.229344e+04,7.745086e+02,1.011009e+01
f2_quad10d,0.5,2.0,alt_mom,10000,cesaro,pr,-1.9248,0.9998,8.912443e+06,1.283749e+05,1.377428e+03,1.549979e+01
f2_quad10d,0.5,2.5,alt_mom,10000,cesaro,pr,-1.9244,0.9996,1.295776e+07,2.003249e+05,2.153045e+03,2.260287e+01
f2_quad10d,0.5,2.9,alt_mom,10000,cesaro,pr,-1.9199,0.9994,1.641417e+07,2.692460e+05,2.898011e+03,2.961584e+01
f2_quad10d,0.7,0.5,alt_mom,10000,cesaro,pr,-1.8269,0.9997,1.740868e+06,2.598694e+04,3.307970e+02,6.063012e+00
f2_quad10d,0.7,1.0,alt_mom,10000,cesaro,pr,-1.8414,0.9997,5.804444e+06,1.026786e+05,1.322601e+03,1.802774e+01
f2_quad10d,0.7,1.5,alt_mom,1000,cesaro,pr,-1.6047,0.9919,1.083418e+05,2.288627e+03,3.035770e+01,2.049860e+00
f2_quad10d,0.7,1.5,alt_mom,10000,cesaro,pr,-1.8272,0.9991,1.079529e+07,2.280411e+05,2.974496e+03,3.722072e+01
f2_quad10d,0.7,2.0,alt_mom,1000,cesaro,pr,-1.6368,0.9965,1.592805e+05,4.013307e+03,5.324819e+01,2.354509e+00
f2_quad10d,0.7,2.0,alt_mom,10000,cesaro,pr,-1.8049,0.9983,1.587088e+07,3.998901e+05,5.285513e+03,6.463591e+01
f2_quad10d,0.7,2.5,alt_mom,1000,cesaro,pr,-1.6500,0.9979,2.069380e+05,6.181369e+03,8.291102e+01,2.755177e+00
f2_quad10d,0.7,2.5,alt_mom,10000,cesaro,pr,-1.7810,0.9973,2.061952e+07,6.159180e+05,8.254632e+03,1.004182e+02
f2_quad10d,0.7,2.9,alt_mom,1000,cesaro,pr,-1.6526,0.9980,2.416009e+05,8.218873e+03,1.114557e+02,3.139512e+00
f2_quad10d,0.7,2.9,alt_mom,10000,cesaro,pr,-1.7622,0.9964,2.407336e+07,8.189371e+05,1.110305e+04,1.349687e+02
f2_quad10d,0.9,0.5,alt_mom,1000,cesaro,pr,-1.5795,0.9951,9.160652e+04,2.374884e+03,3.573490e+01,2.015094e+00
f2_quad10d,0.9,0.5,alt_mom,10000,cesaro,pr,-1.7533,0.9989,9.127769e+06,2.366360e+05,3.554948e+03,5.293408e+01
f2_quad10d,0.9,1.0,alt_mom,1000,cesaro,pr,-1.6108,0.9970,1.940018e+05,8.759468e+03,1.415744e+02,3.277639e+00
f2_quad10d,0.9,1.0,alt_mom,10000,cesaro,pr,-1.6679,0.9953,1.933054e+07,8.728025e+05,1.410652e+04,2.106876e+02
f2_quad10d,0.9,1.5,alt_mom,1000,cesaro,pr,-1.5773,0.9915,2.616063e+05,1.810965e+04,3.159605e+02,5.570820e+00
f2_quad10d,0.9,1.5,alt_mom,10000,cesaro,pr,-1.5980,0.9904,2.606672e+07,1.804464e+06,3.148264e+04,4.736658e+02
f2_quad10d,0.95,0.5,alt_mom,1000,cesaro,pr,-1.6067,0.9967,1.843959e+05,8.661562e+03,1.433933e+02,3.189164e+00
f2_quad10d,0.95,0.5,alt_mom,10000,cesaro,pr,-1.6554,0.9951,1.837340e+07,8.630471e+05,1.428785e+04,2.187021e+02
f2_quad10d,0.95,1.5,alt_mom,100,last,pr,-1.1469,0.9973,2.234719e+03,1.226955e+02,8.239783e+00,8.266077e-01
f2_quad10d,0.95,1.5,alt_mom,100,pr,suffix,0.7208,0.9931,7.011985e-03,5.032113e-02,1.754533e-01,1.168637e+00
f2_quad10d,0.95,1.5,alt_mom,100,pr,best,0.9827,0.9930,1.253237e-03,2.127620e-02,1.403306e-01,1.260465e+00
f2_quad10d,0.99,0.5,alt_mom,1000,last,cesaro,-0.7578,0.9960,3.303042e+00,7.052558e-01,1.313722e-01,1.722866e-02
f2_quad10d,0.99,0.5,alt_mom,1000,cesaro,best,0.7628,0.9992,6.622039e-01,4.458728e+00,2.379493e+01,1.321853e+02
f2_quad10d,0.99,1.0,alt_mom,1000,last,cesaro,-0.8492,0.9998,1.015090e+01,1.548755e+00,2.037995e-01,2.948111e-02
f2_quad10d,0.99,1.5,alt_mom,100,last,pr,-0.9532,0.9955,1.720488e+03,1.540618e+02,2.641942e+01,2.058814e+00
f2_quad10d,0.99,1.5,alt_mom,100,pr,best,0.8595,0.9990,1.887692e-03,1.292360e-02,8.510881e-02,7.379301e-01
f2_quad10d,0.99,2.0,alt_mom,100,pr,best,1.0136,0.9929,5.683471e-04,1.058947e-02,7.043330e-02,7.229226e-01
f2_quad10d,0.99,2.0,alt_mom,1000,last,cesaro,-0.8681,0.9968,1.687801e+01,3.081300e+00,3.871018e-01,4.304216e-02
f2_quad10d,0.99,2.5,alt_mom,100,last,cesaro,-0.8776,0.9998,2.054454e+03,2.578041e+02,3.413171e+01,4.786466e+00
f2_quad10d,0.99,2.5,alt_mom,1000,cesaro,best,0.9261,0.9979,8.507238e-02,7.348804e-01,4.917903e+00,5.514939e+01
f2_quad10d,0.99,2.5,alt_mom,1000,suffix,best,0.5497,0.9983,6.739431e-03,2.325052e-02,7.471806e-02,3.104547e-01
f2_quad10d,0.99,2.9,alt_mom,1000,last,cesaro,-0.8249,0.9982,3.030403e+01,5.455100e+00,8.132043e-01,1.017305e-01
f2_quad10d,0.99,2.9,alt_mom,1000,cesaro,best,0.8882,0.9994,7.511769e-02,6.604934e-01,4.969360e+00,3.501383e+01
f3_huber,0.5,1.0,zero_mom,10000,cesaro,pr,-1.9745,0.9963,1.716755e+06,1.052065e+04,1.005418e+02,2.119772e+00
f3_huber,0.5,1.5,zero_mom,10000,cesaro,pr,-2.0625,0.9975,5.012126e+06,2.416197e+04,2.266731e+02,3.169466e+00
f3_huber,0.5,2.0,zero_mom,10000,cesaro,pr,-2.1256,0.9971,1.192889e+07,4.385391e+04,4.037840e+02,4.675522e+00
f3_huber,0.5,2.5,zero_mom,10000,cesaro,pr,-1.9939,0.9999,6.165677e+06,7.076078e+04,6.329701e+02,6.705749e+00
f3_huber,0.5,2.9,zero_mom,10000,cesaro,pr,-2.1690,0.9968,3.073087e+07,9.549509e+04,8.518051e+02,8.726967e+00
f3_huber,0.7,0.5,zero_mom,10000,cesaro,pr,-2.0134,0.9913,2.001544e+06,7.595939e+03,7.008587e+01,1.855527e+00
f3_huber,0.7,1.5,zero_mom,10000,cesaro,pr,-2.2680,0.9932,4.858693e+07,8.092124e+04,6.407386e+02,6.712585e+00
f3_huber,0.7,2.0,zero_mom,10000,cesaro,pr,-2.1086,0.9997,2.349081e+07,1.573915e+05,1.148108e+03,1.134099e+01
f3_huber,0.99,0.5,zero_mom,1000,last,cesaro,-1.0356,0.9980,8.560116e+03,5.773685e+02,6.232543e+01,6.348902e+00
f3_huber,0.99,0.5,zero_mom,1000,cesaro,suffix,1.0665,0.9913,1.711144e-02,1.010251e-01,2.005615e+00,2.267447e+01
f3_huber,0.99,0.5,zero_mom,1000,cesaro,best,1.1881,0.9933,7.711547e-03,1.504767e-01,1.236987e+00,3.486403e+01
f3_huber,0.99,1.0,zero_mom,1000,last,cesaro,-1.0371,0.9999,4.572550e+03,4.041746e+02,3.688753e+01,3.545753e+00
f3_huber,0.99,2.0,zero_mom,1000,last,cesaro,-0.9769,0.9988,2.224386e+05,2.958785e+04,2.679270e+03,2.744446e+02
f3_huber,0.5,1.0,alt_mom,10000,cesaro,pr,-1.8700,0.9989,4.786078e+05,6.037572e+03,6.214765e+01,1.285333e+00
f3_huber,0.5,1.5,alt_mom,10000,cesaro,pr,-1.9189,0.9999,9.790087e+05,1.337066e+04,1.396009e+02,1.797966e+00
f3_huber,0.5,2.0,alt_mom,10000,cesaro,pr,-1.9244,0.9998,1.633074e+06,2.340593e+04,2.477699e+02,2.863210e+00
f3_huber,0.5,2.5,alt_mom,10000,cesaro,pr,-1.9232,0.9997,2.386662e+06,3.603869e+04,3.865223e+02,4.202787e+00
f3_huber,0.5,2.9,alt_mom,10000,cesaro,pr,-1.9243,0.9996,3.131243e+06,4.788000e+04,5.193879e+02,5.449717e+00
f3_huber,0.7,1.0,alt_mom,10000,cesaro,pr,-1.8480,0.9995,3.789624e+05,6.274277e+03,6.734372e+01,1.188103e+00
f3_huber,0.7,1.5,alt_mom,10000,cesaro,pr,-1.9050,0.9988,7.249693e+05,1.359752e+04,1.509113e+02,1.452281e+00
f3_huber,0.7,2.0,alt_mom,10000,cesaro,pr,-1.9206,0.9976,1.161781e+06,2.331299e+04,2.672067e+02,2.041456e+00
f3_huber,0.7,2.9,alt_mom,10000,cesaro,pr,-1.8331,0.9944,1.393702e+06,4.673821e+04,5.586191e+02,4.728887e+00
f3_huber,0.9,1.0,alt_mom,10000,cesaro,pr,-1.7837,0.9984,2.174002e+05,4.741223e+03,4.790952e+01,1.139221e+00
f3_huber,0.9,1.5,alt_mom,10000,cesaro,pr,-1.8615,0.9988,4.933923e+05,9.537029e+03,1.289811e+02,1.291541e+00
f3_huber,0.9,2.0,alt_mom,10000,cesaro,pr,-1.9137,0.9980,9.612381e+05,1.532700e+04,2.328802e+02,1.622099e+00
f3_huber,0.9,2.5,alt_mom,10000,cesaro,pr,-1.9366,0.9973,1.525589e+06,2.186984e+04,3.588643e+02,2.104831e+00
f3_huber,0.95,1.0,alt_mom,10000,cesaro,pr,-1.8162,0.9928,2.443977e+05,3.644935e+03,2.544817e+01,1.129246e+00
f3_huber,0.95,1.5,alt_mom,10000,cesaro,pr,-1.9162,0.9994,6.880754e+05,6.972497e+03,7.720691e+01,1.265360e+00
f3_huber,0.95,2.0,alt_mom,10000,cesaro,pr,-1.9659,0.9994,1.360944e+06,1.100983e+04,1.634967e+02,1.550236e+00
f3_huber,0.99,2.9,alt_mom,10000,last,best,-0.8363,0.9938,6.276112e+05,8.526333e+04,1.823515e+04,1.710845e+03
